title,price_raw,price_clean,rating,url,image,spec_Afisare - Dimensiune ecran,spec_Afisare - Functii display,spec_Afisare - Rezolutie (pixeli),spec_Afisare - Tip display,spec_Alimentare - Capacitate baterie,spec_Alimentare - Incarcator inclus,spec_Alimentare - Tip baterie,spec_Memorie - Memorie RAM,spec_Memorie - Memorie interna,spec_Memorie - Slot card memorie
"Telefon mobil Poco F7 Ultra, 16GB RAM, 512GB, 5G, Yellow","3.884,10 Lei",3884.10 Lei,5(5),https://www.emag.ro/telefon-mobil-poco-f7-ultra-16gb-ram-512gb-5g-yellow-pc-f7ultblk512/pd/D5VQ4K3BM/,https://s13emagst.akamaized.net/products/93866/93865294/images/res_4199e43bd66c15a6edab1b75a019ec59.jpg?width=720&height=720&hash=54FCF52B1208F332F2880E57C23E6122,6.67 inch,"Dolby Vision
HDR10+
120 Hz
68B colors
1800 nits (HBM)
3200 nits (peak)",1440 x 3200,AMOLED,5300 mAh,Nu,,16 GB,512 GB,
"Telefon mobil Oppo Find X8, 16GB RAM, 512GB, 5G, Star Grey","4.350,01 Lei",4350.01 Lei,,https://www.emag.ro/telefon-mobil-oppo-find-x8-16gb-ram-512gb-5g-star-grey-op-ofndx8stgr/pd/D33S643BM/,https://s13emagst.akamaized.net/products/104256/104255142/images/res_46e13ebfb4af3ffaf6ec7a8f466efa1d.jpg?width=720&height=720&hash=75A42840FDCAC730D85F50346497CA72,6.59 inch,"Dolby Vision
HDR10+
120 Hz
1B colors
1600 nits (HBM)
800 nits (typ)
4500 nits (peak)",1256 x 2760,AMOLED,5630 mAh,Nu,,16 GB,512 GB,
"Smartphone Xiaomi Redmi Note 7 PRO, 6GB, 128GB, camera 48MP, negru","543,81 Lei",543.81 Lei,,https://www.emag.ro/smartphone-xiaomi-redmi-note-7-pro-6gb-128gb-camera-48mp-negru-redminote7pro-6-128gb-black/pd/DDC0DK3BM/,https://s13emagst.akamaized.net/products/93465/93464603/images/res_601f56f9e41cb8d8ede143c075473e56.png?width=720&height=720&hash=FF10E554881819B4BAC05EBDCCBAB572,6.3 inch,90 Hz,1366 x 768,"LCD
IPS",4000 mAh,,,6 GB,128 GB,
"Telefon mobil Motorola Edge 50 Neo, Dual SIM, 512GB, 12GB RAM, 5G, Pantone Poinciana","1.452,00 Lei",1452.00 Lei,4.44(163),https://www.emag.ro/telefon-mobil-motorola-edge-50-neo-dual-sim-512gb-12gb-ram-5g-pantone-poinciana-pb310010pl/pd/DQ9QHCYBM/,https://s13emagst.akamaized.net/products/76080/76079941/images/res_bd02216a6fec9a222efdcf81783cf7c5.jpg?width=720&height=720&hash=1395A340EF0AC2E5CB458488D5CE035D,6.4 inch,446 PPI,2670 x 1220,P-OLED,4310 mAh,Nu,Li-Po,12 GB,512 GB,
"Telefon Mobil CUBOT X30P,16GB+256GB ROM+TF 1TB Expand,48MP Camera, Dual SIM,6.4"" FHD+,4200mAh,4G/NFC/GPS/OTG/Fingerprint, Android 13, Negru","749,99 Lei",749.99 Lei,5(10),https://www.emag.ro/telefon-mobil-cubot-x30p-16gb-256gb-rom-tf-1tb-expand-48mp-camera-dual-sim-6-4-fhd-4200mah-4g-nfc-gps-otg-fingerprint-android-13-negru-cubotx30p-black/pd/DW8355YBM/,https://s13emagst.akamaized.net/products/82049/82048195/images/res_241fefa4a083a3b4bd2cf0e878d2a67c.png?width=720&height=720&hash=9EADC2B51AFE33939C5E1BB98F7EA70E,6.4 inch,"Capacitive touchscreen
FHD+",1080 x 2408,IPS,4200 mAh,Da,Li-Ion,16 GB,256 GB,MicroSD
"Telefon mobil Motorola Edge 60, 12GB RAM, 512GB, 5G, Pantone Shamrock","1.689,99 Lei",1689.99 Lei,,https://www.emag.ro/telefon-mobil-motorola-edge-60-12gb-ram-512gb-5g-pantone-shamrock-mt-edg60ptsr512/pd/DKHW5X3BM/,https://s13emagst.akamaized.net/products/96305/96304402/images/res_8e1018a2c2e07a12e295256d3ddb5aab.jpg?width=720&height=720&hash=510FD3C6ED72C5D16163BEE709288ACC,6.67 inch,"HDR10+
120 Hz
1B colors
4500 nits (peak)",1220 x 2712,P-OLED,5200 mAh,Nu,,12 GB,512 GB,MicroSDXC
"Telefon mobil Xiaomi Redmi A5, 3GB RAM, 64GB, Gold + Xiaomi High-capacity pen","508,39 Lei",508.39 Lei,4.59(46),https://www.emag.ro/telefon-mobil-xiaomi-redmi-a5-3gb-ram-64gb-gold-xiaomi-high-capacity-pen-bndl15gold/pd/DC0HYN3BM/,https://s13emagst.akamaized.net/products/94270/94269625/images/res_bb3f33146f90b577c89148eb771c1593.jpg?width=720&height=720&hash=90AC7519FFC152A811F7F1CC4488B9B3,6.88 inch,"260 PPI
450 nits
Rata de refresh 120 Hz",1640 x 720,LCD,5200 mAh,Nu,,3 GB,64 GB,MicroSD
"Telefon mobil Apple iPhone 16 Plus, 512GB, 5G, Teal","6.402,39 Lei",6402.39 Lei,4.83(64),https://www.emag.ro/telefon-mobil-apple-iphone-16-plus-512gb-5g-teal-my2j3zd-a/pd/DK367LYBM/,https://s13emagst.akamaized.net/products/76828/76827238/images/res_c7626b9e3cd920789e75ea3730db2653.jpg?width=720&height=720&hash=D7D4D52E9FF8FBD6D043385B504D5708,6.7 inch,"True tone
Haptic touch
HDR display
Wide color (P3)
Dynamic Island
1000 nit luminozitate maxima (tipic); 1600 nit luminozitate maxima (HDR); 2000 nit luminozitate maxima (in aer liber)
Fingerprint-resistant",2796 x 1290,OLED,,Nu,Li-Ion,8 GB,512 GB,
"Telefon mobil Realme 14 Pro+, 8GB RAM, 256GB, 5G, Pearl White","1.510,80 Lei",1510.80 Lei,5(1),https://www.emag.ro/telefon-mobil-realme-14-pro-8gb-ram-256gb-5g-pearl-white-rm-r14propspw256/pd/D74PH33BM/,https://s13emagst.akamaized.net/products/87455/87454190/images/res_75d2006dcf2f989a58371fd5931a7544.jpg?width=720&height=720&hash=2B6BD8AA1B503399F95172ACA02D882A,6.83 inch,"120 Hz
1B colors
1200 nits (HBM)
1500 nits (peak)",1272 x 2800,OLED,6000 mAh,,,8 GB,256 GB,
"Telefon mobil Samsung Galaxy Z Flip6, 12GB RAM, 512GB, 5G, Blue","4.044,99 Lei",4044.99 Lei,4.07(58),https://www.emag.ro/telefon-mobil-samsung-galaxy-z-flip6-12gb-ram-512gb-5g-blue-sm-f741blbheue/pd/DYXGVSYBM/,https://s13emagst.akamaized.net/products/73523/73522667/images/res_6543df054629b29753cb8bd93c6c1a81.jpg?width=720&height=720&hash=3315FEDABDC9953ACEB3845499A90DB5,6.7 inch,"FHD+
60 Hz
120Hz
1600nits","2640 x 1080
748 x 720","Super AMOLED
Dynamic AMOLED",4000 mAh,,,12 GB,512 GB,
"Telefon mobil Apple iPhone 15 Plus, 512GB, 5G, Pink","5.992,63 Lei",5992.63 Lei,4.82(153),https://www.emag.ro/telefon-mobil-apple-iphone-15-plus-512gb-5g-pink-mu1j3rx-a/pd/DSCH93YBM/,https://s13emagst.akamaized.net/products/60458/60457137/images/res_2012fec91830bebbf7ed3b6a217c0ef2.jpg?width=720&height=720&hash=3D4FAE6FD3ADB1E0B80C34D23554CFB1,6.7 inch,"True tone
Haptic touch
2,000,000:1 contrast ratio
HDR display
Wide color (P3)
Dynamic Island",2796 x 1290,Super Retina XDR,,Nu,Li-Ion,6 GB,512 GB,
"Telefon mobil Google Pixel 9 Pro XL, 1TB, 16GB RAM, 5G, Obsidian","6.089,99 Lei",6089.99 Lei,4.4(89),https://www.emag.ro/telefon-mobil-google-pixel-9-pro-xl-1tb-16gb-ram-5g-obsidian-ga09479-gb/pd/D0ZKQVYBM/,https://s13emagst.akamaized.net/products/74606/74605045/images/res_25124c1f875fe3cdf3eedf8ba0dfc104.jpg?width=720&height=720&hash=B19B0D74E915947FB17A5F20B3334464,6.75 inch,"Refresh rate 120Hz
3000 nits (varf)
HDR 10+
486 PPI",1344 x 2992,P-OLED,5060 mAh,Nu,Li-Ion,16 GB,1 TB,
"Telefon mobil OPPO A5, 4GB RAM, 128GB, Dark Purple","533,99 Lei",533.99 Lei,5(1),https://www.emag.ro/telefon-mobil-oppo-a5-4gb-ram-128gb-dark-purple-op-a5drkprp4g/pd/DDNDJV3BM/,https://s13emagst.akamaized.net/products/102994/102993538/images/res_b644dd71ac45832aa257cc61682f4d88.jpg?width=720&height=720&hash=C76BBEFE55DC74F992868D93603B915A,6.67 inch,"90 Hz
1000 nits (HBM)",720 x 1604,"LCD
IPS",6000 mAh,Nu,,4 GB,128 GB,MicroSDXC
"Telefon mobil Motorola moto g15, Dual SIM, 256GB, 8GB RAM, 5200 mAh, Sunrise Orange","599,99 Lei",599.99 Lei,4.4(25),https://www.emag.ro/telefon-mobil-motorola-moto-g15-dual-sim-256gb-8gb-ram-5200-mah-sunrise-orange-pb6e0031ro/pd/DZ8JV23BM/,https://s13emagst.akamaized.net/products/90135/90134046/images/res_08e48df9396c1932e327bf0b87561194.jpg?width=720&height=720&hash=0C514DC54B75D996A96483237BA0ACE6,6.72 inch,"391 PPI
FHD+
60 Hz",2400 x 1080,LCD,5200 mAh,Nu,,8 GB,256 GB,
"Telefon mobil Xiaomi 15, 12GB RAM, 256GB, 5G, White + Xiaomi 10W Wireless Power Bank 10000mah","5.084,02 Lei",5084.02 Lei,4.59(34),https://www.emag.ro/telefon-mobil-xiaomi-15-12gb-ram-256gb-5g-white-xiaomi-10w-wireless-power-bank-10000mah-bndl15wh10/pd/DJKB0M3BM/,https://s13emagst.akamaized.net/products/87110/87109145/images/res_682b9374893383d3847daa83fe073398.jpg?width=720&height=720&hash=E92830B94E6CDE169139BB09D6F75925,6.36 inch,"460 PPI
Rata de reimprospatare de 120 Hz",2670 x 1200,AMOLED,5240 mAh,,,12 GB,256 GB,
"Telefon mobil OPPO Reno14 Pro, 5G, Mediatek Dimensity 8450, Dual Sim, 12GB/512GB, White","3.450,00 Lei",3450.00 Lei,,https://www.emag.ro/telefon-mobil-oppo-reno14-pro-5g-mediatek-dimensity-8450-dual-sim-12gb-512gb-white-6932169375047/pd/DFTV983BM/,https://s13emagst.akamaized.net/products/112181/112180645/images/res_e3edf1c445c162324f5f1cee3d105a3c.jpg?width=720&height=720&hash=26362BA9CAA3D92719F2E9282ED3882A,6.7 inch,,,,,,,12 GB,512 GB,
"Telefon mobil HONOR X7d, Dual SIM, 8GB RAM, 256GB ROM, Meteor Silver - Casti Honor Choice Earbuds X7e Active incluse","999,99 Lei",999.99 Lei,4.75(4),https://www.emag.ro/telefon-mobil-honor-x7d-dual-sim-8gb-ram-256gb-rom-meteor-silver-casti-honor-choice-earbuds-x7e-active-incluse-5109bybd-5504adcy/pd/DR6LXS3BM/,https://s13emagst.akamaized.net/products/101996/101995637/images/res_88ade86ec34ee9f5b5cc7bc5d573823d.jpg?width=720&height=720&hash=B6E4D49EE073AB1C113EB42DF2DD931A,6.77 inch,"120 Hz
700 nits",1610 x 720,LCD,6500 mAh,Nu,,8 GB,256 GB,
"Telefon mobil Samsung Galaxy A05, 64GB, 4GB RAM, 4G, Silver","464,64 Lei",464.64 Lei,4.49(104),https://www.emag.ro/telefon-mobil-samsung-galaxy-a05-64gb-4gb-ram-4g-silver-sm-a055fzsd/pd/D607NKYBM/,https://s13emagst.akamaized.net/products/62395/62394600/images/res_aa43ef7f56cdb58a3f2f0a5d1bd56b6e.jpg?width=720&height=720&hash=DAD6949690B8D3BF6C3F76D7B8D492D5,6.7 inch,,720 x 1600,PLS,5000 mAh,Nu,Li-Po,4 GB,64 GB,MicroSDXC
"Telefon mobil Xiaomi Redmi A3, 3GB RAM, 64GB, 4G, Black","389,99 Lei",389.99 Lei,4.29(109),https://www.emag.ro/telefon-mobil-xiaomi-redmi-a3-3gb-ram-64gb-4g-black-mzb0gl8eu/pd/DHX3CHYBM/,https://s13emagst.akamaized.net/products/68017/68016150/images/res_0b87c899d9d90ba4d697dd7fe6e41f6a.jpg?width=720&height=720&hash=AC041291D93AB6C7691B27E3FE4613B5,6.71 inch,"500 nits
Rata de Refresh 90Hz",1650 x 720,,5000 mAh,,,3 GB,64 GB,
"Telefon mobil Motorola Moto g85, Dual SIM, 8GB RAM, 256GB, 5G, Olivine","998,99 Lei",998.99 Lei,4.51(43),https://www.emag.ro/telefon-mobil-motorola-moto-g85-dual-sim-8gb-ram-256gb-5g-olivine-pb2a0036ro/pd/DNB9FSYBM/,https://s13emagst.akamaized.net/products/73419/73418487/images/res_b98a097388d5ea6d7fe848f84d2743e3.jpg?width=720&height=720&hash=70053531DF5DEFB7466D6C0F03C5D7F5,6.67 inch,"395 PPI
120 Hz",1080 x 2400,OLED,5000 mAh,,Li-Po,8 GB,256 GB,
"Telefon mobil HONOR Magic7 Lite, Dual SIM, 8GB RAM, 256GB, Titanium Purple","1.407,00 Lei",1407.00 Lei,4.33(67),https://www.emag.ro/telefon-mobil-honor-magic7-lite-dual-sim-8gb-ram-256gb-titanium-purple-5109bmgb/pd/DZB5HB3BM/,https://s13emagst.akamaized.net/products/82450/82449658/images/res_9db88b5b47a4215c3af3363c5f12f43d.jpg?width=720&height=720&hash=4A3E09827DAEB6D14FA987FB3EC80980,6.78 inch,"437 PPI
Rata de refresh 120 Hz",2700 x 1224,AMOLED,6600 mAh,Nu,,8 GB,256 GB,
"Telefon mobil OPPO A5 Pro, Dual SIM, 8GB RAM, 256GB, 5G, Verde","1.000,00 Lei",1000.00 Lei,4.5(2),https://www.emag.ro/telefon-mobil-oppo-a5-pro-dual-sim-8gb-ram-256gb-5g-verde-op-a5pro256ve/pd/DYBDJZ3BM/,https://s13emagst.akamaized.net/products/106688/106687339/images/res_207b314ae431a74742f4f7b659530697.jpg?width=720&height=720&hash=F2412C80E106D21916BBAD7AE53C25F5,6.67 inch,"120 Hz
1000 nits (HBM)
1160Hz PWM",720 x 1604,"LCD
IPS",5800 mAh,Nu,,8 GB,256 GB,MicroSDXC
"Telefon mobil Motorola Moto g56, 8GB RAM, 256GB, 5G, Black Oyster","860,01 Lei",860.01 Lei,,https://www.emag.ro/telefon-mobil-motorola-moto-g56-8gb-ram-256gb-5g-black-oyster-mt-motg56bkoy256/pd/D3JVFX3BM/,https://s13emagst.akamaized.net/products/98358/98357888/images/res_2f5ac81d25bee7d17c9d2ee30508d460.jpg?width=720&height=720&hash=1D869696A4BF17DEAA782759F4FA7531,6.72 inch,120 Hz,1080 x 2400,"LCD
IPS",5200 mAh,Nu,,8 GB,256 GB,MicroSDXC
"Telefon mobil FOSSIBOT S3 Pro, 4G, Dual SIM, Octa-Core G85, Dual Display 6.67-inch AMOLED + 1.09-inch Spate, 20GB RAM (6GB + 14GB ext), 128GB, Face Unlock, NFC, 5000mAh, Android 14, Black","845,48 Lei",845.48 Lei,,https://www.emag.ro/telefon-mobil-fossibot-s3-pro-4g-dual-sim-octa-core-g85-dual-display-6-67-inch-amoled-1-09-inch-spate-20gb-ram-6gb-14gb-ext-128gb-face-unlock-nfc-5000mah-android-14-black-foss-s3pro-bk/pd/DV3NPJ3BM/,https://s13emagst.akamaized.net/products/101031/101030041/images/res_82c169d5e42d251eb7b01c9d9dff35a2.png?width=720&height=720&hash=352396416F6DE1A7CDD0A1527AB2E8EC,"6.67 inch
1 inch","20:9
394 PPI
Touch screen
800 nits
1.07B culori",1080 x 2400,AMOLED,5000 mAh,Da,Li-Po,20 GB,128 GB,MicroSD
"Telefon mobil Realme Note 70T, 4GB RAM, 256GB, Gold","468,86 Lei",468.86 Lei,,https://www.emag.ro/telefon-mobil-realme-note-70t-4gb-ram-256gb-gold-rm-nt70tgld256/pd/D2SF0J3BM/,https://s13emagst.akamaized.net/products/100977/100976640/images/res_476660c2d6c0d2945472b4a49f2b6ee9.jpg?width=720&height=720&hash=68A762A65C377277D9E059218EA82AF1,6.74 inch,90 Hz,720 x 1600,"LCD
IPS",6000 mAh,Nu,,4 GB,256 GB,MicroSDXC
"Telefon mobil Google Pixel 10 Pro, 512GB, 16GB RAM, 5G, Porcelain","6.899,99 Lei",6899.99 Lei,4.11(27),https://www.emag.ro/telefon-mobil-google-pixel-10-pro-512gb-16gb-ram-5g-porcelain-ga10317-gb/pd/DMNG0J3BM/,https://s13emagst.akamaized.net/products/100990/100989843/images/res_e90c3b615d98b9bc980196d7c6449199.jpg?width=720&height=720&hash=CB333F7ED69330C4CDEDDAE613B5BDE7,6.3 inch,"20:9 ratio
495 PPI
Smooth Display (1 – 120 Hz)
3300 niti",1280 x 2856,OLED,4870 mAh,Nu,,16 GB,512 GB,
"Telefon mobil Blasko, ecran dublu, butoane mari, lanterna, camera, albastru","139,00 Lei",139.00 Lei,5(1),https://www.emag.ro/telefon-mobil-blasko-ecran-dublu-butoane-mari-lanterna-camera-albastru-986/pd/DM1XHS3BM/,https://s13emagst.akamaized.net/products/101929/101928218/images/res_a744d777a0463f2a82b73ef1342a06be.png?width=720&height=720&hash=D5AB05544D948EEF082B3CB6D294A108,,,,,,Da,Li-Ion,32 MB,16 GB,
"Telefon mobil Poco F8 Pro, 12GB RAM, 256GB, 5G, Blue","5.589,69 Lei",5589.69 Lei,,https://www.emag.ro/telefon-mobil-poco-f8-pro-12gb-ram-256gb-5g-blue-pc-f8pro256be/pd/DCQJK83BM/,https://s13emagst.akamaized.net/products/112001/112000509/images/res_3391f4f904e742265d0d9d6e02f4ac3f.jpg?width=720&height=720&hash=2448C9F012B29E586A8E7EFCA3B11B52,6.59 inch,"Dolby Vision
HDR10+
120 Hz
68B colors
2000 nits (HBM)
3500 nits peak",1156 x 2510,AMOLED,6210 mAh,Nu,,12 GB,256 GB,
"Telefon mobil Apple iPhone 13, 512GB, 5G, Red","5.559,99 Lei",5559.99 Lei,4.82(1093),https://www.emag.ro/telefon-mobil-apple-iphone-13-512gb-5g-red-mlqf3rm-a/pd/DHFCMXMBM/,https://s13emagst.akamaized.net/products/40685/40684411/images/res_87712636cdfe742122fa92fa3d61d521.jpg?width=720&height=720&hash=199D0BB4B64D98414F4D8C5E2D38B48F,6.1 inch,460 PPI,2532 x 1170,OLED,,,,4 GB,512 GB,
"Telefon mobil iHunt Tank 4 Pro, 5G, Dual SIM, 6.73-inch 3K 120Hz AMOLED, Proiector Video Laser 720P 60Hz, Octa-Core, 32GB RAM, 512GB, Camera 50AF + 64 Night + 50MP Telephoto / 32MP Fata, Incarcare Turbo 120W, NFC, IP68/IP69, Android 14","4.249,99 Lei",4249.99 Lei,4(3),https://www.emag.ro/telefon-mobil-ihunt-tank-4-pro-5g-dual-sim-6-73-inch-3k-120hz-amoled-proiector-video-laser-720p-60hz-octa-core-32gb-ram-512gb-camera-50af-64-night-50mp-telephoto-32mp-fata-incarcare-turbo-120w-nfc-ip6/pd/DZS4F43BM/,https://s13emagst.akamaized.net/products/103901/103900025/images/res_89f9c1652de214a35663581311aa05c5.jpg?width=720&height=720&hash=9BA00473FEF1E7486AFC0D861B30924F,6.73 inch,"120 Hz
Capacitive multi-point touch",1440 x 3200,AMOLED,11600 mAh,Da,Li-Ion,32 GB,512 GB,MicroSD
"Telefon mobil Samsung Galaxy A35, Dual SIM, 6GB, 128GB, 5G, Awesome Iceblue","1.569,00 Lei",1569.00 Lei,4.67(244),https://www.emag.ro/telefon-mobil-samsung-galaxy-a35-dual-sim-6gb-128gb-5g-awesome-iceblue-sm-a356blbbeue/pd/DVY2YPYBM/,https://s13emagst.akamaized.net/products/68405/68404060/images/res_54d93b19d574d0d4ee6abd41a2f766e7.jpg?width=720&height=720&hash=C412E29B1C9A3D54CFC4F03FF7FC1FF0,6.6 inch,"16M adancime de culoare
Refresh rate 120Hz",1080 x 2340,Super AMOLED,5000 mAh,,,6 GB,128 GB,MicroSD
"Telefon mobil Samsung Galaxy S24, Dual SIM, 8GB RAM, 128GB, 5G, Onyx Black","3.099,90 Lei",3099.90 Lei,4.65(494),https://www.emag.ro/telefon-mobil-samsung-galaxy-s24-dual-sim-8gb-ram-128gb-5g-onyx-black-sm-s921bzkdeue/pd/D65L7KYBM/,https://s13emagst.akamaized.net/products/64817/64816439/images/res_fdecd9733172144ab6b418e28f699e1c.jpg?width=720&height=720&hash=91C5F7015A569F5237D415DE60CD1451,6.2 inch,"120 Hz
FHD+",2340 x 1080,Dynamic AMOLED,4000 mAh,,,8 GB,128 GB,
"Telefon mobil Xiaomi 15, 12GB RAM, 512GB, 5G, White + Xiaomi 10W Wireless Power Bank 10000mah","5.490,75 Lei",5490.75 Lei,4.59(34),https://www.emag.ro/telefon-mobil-xiaomi-15-12gb-ram-512gb-5g-white-xiaomi-10w-wireless-power-bank-10000mah-bndl15wh/pd/DXKB0M3BM/,https://s13emagst.akamaized.net/products/87110/87109145/images/res_682b9374893383d3847daa83fe073398.jpg?width=720&height=720&hash=E92830B94E6CDE169139BB09D6F75925,6.36 inch,"460 PPI
Rata de reimprospatare de 120 Hz",2670 x 1200,AMOLED,5240 mAh,,,12 GB,512 GB,
